rank,token,total_count,document_frequency,percent_of_documents
1057,chargeback,11,3,0.19
1058,raw,11,6,0.39
1059,longer,11,10,0.65
1060,perhaps,11,10,0.65
1061,internally,11,10,0.65
1062,effectively,11,9,0.58
1063,fairshare,11,5,0.32
1064,flag,11,9,0.58
1065,early,11,9,0.58
1066,restarts,11,10,0.65
1067,compaction,11,4,0.26
1068,incoming,11,10,0.65
1069,aggregator,11,6,0.39
1070,dt,11,4,0.26
1071,ops,11,4,0.26
1072,winutils,11,4,0.26
1073,2048mb,11,2,0.13
1074,aim,10,10,0.65
1075,begin,10,10,0.65
1076,bootstrap,10,5,0.32
1077,extract,10,10,0.65
1078,stage,10,10,0.65
1079,discover,10,8,0.52
1080,wrapper,10,9,0.58
1081,regard,10,9,0.58
1082,waste,10,6,0.39
1083,flex,10,5,0.32
1084,gracefully,10,9,0.58
1085,utility,10,8,0.52
1086,credential,10,7,0.45
1087,fails,10,10,0.65
1088,attachment,10,5,0.32
1089,vcore,10,5,0.32
1090,although,10,10,0.65
1091,reducer,10,8,0.52
1092,distributed,10,9,0.58
1093,throttle,10,8,0.52
1094,crash,10,10,0.65
1095,integration,10,8,0.52
1096,engine,10,6,0.39
1097,optimization,10,8,0.52
1098,rmapp,10,6,0.39
1099,ready,10,10,0.65
1100,log-aggregation,10,5,0.32
1101,wrap,10,10,0.65
1102,combination,10,7,0.45
1103,propagate,10,7,0.45
1104,challenge,10,8,0.52
1105,story,10,10,0.65
1106,effect,10,9,0.58
1107,aux,10,6,0.39
1108,v1,10,7,0.45
1109,db,10,6,0.39
1110,locally,10,6,0.39
1111,payload,10,6,0.39
1112,raise,10,9,0.58
1113,gpg,10,6,0.39
1114,essentially,10,9,0.58
1115,yarn-1011,10,7,0.45
1116,bit,10,9,0.58
1117,authenticate,10,8,0.52
1118,increment,10,4,0.26
1119,automatic,10,7,0.45
1120,runtimes,10,4,0.26
1121,indicate,10,9,0.58
1122,tensorflow,10,5,0.32
1123,ad,10,4,0.26
1124,primarily,10,7,0.45
1125,initialization,10,6,0.39
1126,treat,10,9,0.58
1127,capture,10,10,0.65
1128,detect,10,9,0.58
1129,in-memory,10,7,0.45
1130,correctly,10,9,0.58
1131,os,10,9,0.58
1132,minimize,10,10,0.65
1133,coprocessor,10,4,0.26
1134,significantly,10,10,0.65
1135,leader,10,5,0.32
1136,queueable,10,5,0.32
1137,hadoop-common,10,4,0.26
1138,maintenance,10,7,0.45
1139,wce,10,1,0.06
1140,nm2,10,2,0.13
1141,submitapplication,10,1,0.06
1142,sub-task,9,9,0.58
1143,recommend,9,6,0.39
1144,migrate,9,8,0.52
1145,encounter,9,9,0.58
1146,vector,9,6,0.39
1147,independently,9,8,0.52
1148,cc,9,9,0.58
1149,towards,9,8,0.52
1150,auto-created,9,6,0.39
1151,dominant,9,4,0.26
1152,succeed,9,8,0.52
1153,clear,9,9,0.58
1154,compatible,9,9,0.58
1155,sleep,9,6,0.39
1156,yarnclient,9,7,0.45
1157,observe,9,7,0.45
1158,documentation,9,9,0.58
1159,reasonable,9,9,0.58
1160,underlie,9,6,0.39
1161,average,9,7,0.45
1162,ratio,9,6,0.39
1163,super,9,2,0.13
1164,fill,9,6,0.39
1165,round,9,7,0.45
1166,eliminate,9,9,0.58
1167,suggestion,9,9,0.58
1168,condition,9,9,0.58
1169,typically,9,9,0.58
1170,involve,9,9,0.58
1171,specification,9,8,0.52
1172,azure,9,4,0.26
1173,prefer,9,9,0.58
1174,compare,9,9,0.58
1175,complicate,9,8,0.52
1176,usually,9,9,0.58
1177,else,9,8,0.52
1178,safe,9,9,0.58
1179,secondary,9,8,0.52
1180,socket,9,5,0.32
1181,difference,9,9,0.58
1182,fallback,9,5,0.32
1183,becomes,9,9,0.58
1184,iterate,9,6,0.39
1185,cardinality,9,6,0.39
1186,hundred,9,8,0.52
1187,central,9,8,0.52
1188,half,9,5,0.32
1189,concern,9,8,0.52
1190,tfile,9,5,0.32
1191,logical,9,6,0.39
1192,yarn-2884,9,9,0.58
1193,yarn-4692,9,8,0.52
1194,prototype,9,5,0.32
1195,desirable,9,7,0.45
1196,randomly,9,6,0.39
1197,limited,9,9,0.58
1198,hide,9,8,0.52
1199,hive,9,6,0.39
1200,init,9,7,0.45
1201,node-labels,9,6,0.39
1202,app-level,9,6,0.39
1203,impala,9,2,0.13
1204,subsystem,9,6,0.39
1205,mr2,9,6,0.39
1206,suffix,9,1,0.06
1207,frequency,8,8,0.52
1208,adjust,8,8,0.52
1209,conf,8,7,0.45
1210,realize,8,7,0.45
1211,matter,8,8,0.52
1212,instal,8,7,0.45
1213,everything,8,8,0.52
1214,latter,8,8,0.52
1215,possibility,8,8,0.52
1216,processor,8,7,0.45
1217,abuse,8,5,0.32
1218,parser,8,4,0.26
1219,expire,8,7,0.45
1220,subcluster,8,6,0.39
1221,interested,8,6,0.39
1222,style,8,6,0.39
1223,regardless,8,8,0.52
1224,separately,8,8,0.52
1225,checker,8,6,0.39
1226,drain,8,5,0.32
1227,hardware,8,5,0.32
1228,concurrent,8,5,0.32
1229,initially,8,8,0.52
1230,oozie,8,6,0.39
1231,lack,8,8,0.52
1232,direct,8,7,0.45
1233,protection,8,3,0.19
1234,jiras,8,7,0.45
1235,i/o,8,6,0.39
1236,solr,8,4,0.26
1237,characteristic,8,7,0.45
1238,act,8,8,0.52
1239,generation,8,8,0.52
1240,cmd,8,5,0.32
1241,item,8,7,0.45
1242,restriction,8,6,0.39
1243,interactive,8,5,0.32
1244,aspect,8,8,0.52
1245,earlier,8,7,0.45
1246,reference,8,7,0.45
1247,better,8,8,0.52
1248,probably,8,8,0.52
1249,over-allocation,8,4,0.26
1250,pair,8,6,0.39
1251,pack,8,4,0.26
1252,rich,8,6,0.39
1253,reset,8,5,0.32
1254,composite,8,7,0.45
1255,attack,8,6,0.39
1256,semantics,8,6,0.39
1257,callback,8,6,0.39
1258,anti-affinity,8,7,0.45
1259,differentiate,8,7,0.45
1260,guaranteed,8,6,0.39
1261,leak,8,6,0.39
1262,reverse,8,8,0.52
1263,subsequent,8,8,0.52
1264,deletion,8,6,0.39
1265,portion,8,7,0.45
1266,significant,8,8,0.52
1267,overload,8,8,0.52
1268,curator,8,4,0.26
1269,extra,8,8,0.52
1270,except,8,8,0.52
1271,keytab,8,3,0.19
1272,yarn-4902,8,4,0.26
1273,nodelabel,8,4,0.26
1274,delegate,8,6,0.39
1275,team,8,4,0.26
1276,ipc,8,4,0.26
1277,clean-up,8,4,0.26
1278,over-commit,8,1,0.06
1279,protect,8,7,0.45
1280,wish,8,7,0.45
1281,reclaim,8,6,0.39
1282,long-lived,8,7,0.45
1283,comparator,8,4,0.26
1284,reconnect,8,5,0.32
1285,node-label,8,5,0.32
1286,rack1,8,3,0.19
1287,hint,8,3,0.19
1288,statistic,8,6,0.39
1289,dummy,8,4,0.26
1290,nm1,8,2,0.13
1291,reboot,8,4,0.26
1292,facilitate,7,7,0.45
1293,computation,7,6,0.39
1294,hope,7,5,0.32
1295,fit,7,6,0.39
1296,natural,7,5,0.32
1297,practice,7,7,0.45
1298,customize,7,7,0.45
1299,jvm,7,7,0.45
1300,gap,7,6,0.39
1301,bound,7,6,0.39
1302,interest,7,7,0.45
1303,nvidia,7,4,0.26
1304,distribution,7,6,0.39
1305,initiate,7,5,0.32
1306,running,7,7,0.45
1307,meanwhile,7,7,0.45
1308,throw,7,7,0.45
1309,demonstrate,7,5,0.32
1310,multi-thread,7,4,0.26
1311,container-filepath,7,6,0.39
1312,fatal,7,4,0.26
1313,carry,7,6,0.39
1314,5g,7,3,0.19
1315,implemented,7,7,0.45
1316,experiment,7,6,0.39
1317,people,7,7,0.45
1318,area,7,7,0.45
1319,regular,7,7,0.45
1320,python,7,5,0.32
1321,yarn-8851,7,6,0.39
1322,clearly,7,5,0.32
1323,yarn-client,7,5,0.32
1324,dependency,7,6,0.39
1325,env,7,5,0.32
1326,stable,7,6,0.39
1327,exceed,7,7,0.45
1328,thanks,7,7,0.45
1329,demon,7,1,0.06
1330,extensible,7,6,0.39
1331,restore,7,5,0.32
1332,background,7,7,0.45
1333,spread,7,5,0.32
1334,setter,7,2,0.13
1335,learning,7,5,0.32
1336,box,7,6,0.39
1337,spec,7,5,0.32
1338,destination,7,5,0.32
1339,normally,7,6,0.39
1340,subset,7,7,0.45
1341,establish,7,5,0.32
1342,successful,7,5,0.32
1343,expansion,7,4,0.26
1344,somewhat,7,7,0.45
1345,moment,7,7,0.45
1346,failed,7,7,0.45
1347,dependent,7,7,0.45
1348,concurrently,7,6,0.39
1349,awareness,7,5,0.32
1350,generally,7,6,0.39
1351,overwrite,7,5,0.32
1352,building,7,5,0.32
1353,respond,7,7,0.45
1354,agnostic,7,5,0.32
1355,minor,7,7,0.45
1356,generator,7,5,0.32
1357,power,7,6,0.39
1358,hostname,7,7,0.45
1359,mainly,7,5,0.32
1360,queue1,7,3,0.19
1361,time-based,7,7,0.45
1362,beneficial,7,7,0.45
1363,retrospect,7,6,0.39
1364,branch,7,6,0.39
1365,web-services,7,4,0.26
1366,yarn-3368,7,7,0.45
1367,perfect,7,4,0.26
1368,span,7,6,0.39
1369,embed,7,4,0.26
1370,little,7,7,0.45
1371,assumption,7,5,0.32
1372,non,7,6,0.39
1373,range,7,6,0.39
1374,pattern,7,7,0.45
1375,medium,7,4,0.26
1376,edit,7,5,0.32
1377,measure,7,7,0.45
1378,finally,7,6,0.39
1379,stdout,7,4,0.26
1380,stderr,7,4,0.26
1381,hand,7,7,0.45
1382,stats,7,3,0.19
1383,enables,7,7,0.45
1384,week,7,4,0.26
1385,per-node,7,5,0.32
1386,stick,7,7,0.45
1387,respectively,7,7,0.45
1388,fall,7,5,0.32
1389,rid,7,6,0.39
1390,anyone,7,7,0.45
1391,deadlock,7,5,0.32
1392,nodelabels,7,2,0.13
1393,publisher,7,3,0.19
1394,proceed,7,6,0.39
1395,phoenix,7,4,0.26
1396,expiry,7,6,0.39
1397,admission,7,7,0.45
1398,remember,7,6,0.39
1399,purge,7,3,0.19
1400,allocated,6,6,0.39
1401,suppose,6,5,0.32
1402,locate,6,6,0.39
1403,boolean,6,6,0.39
1404,converter,6,4,0.26
1405,mixed,6,2,0.13
1406,believe,6,6,0.39
1407,community,6,6,0.39
1408,legacy,6,4,0.26
1409,site,6,6,0.39
1410,mandatory,6,6,0.39
1411,rm-nm,6,5,0.32
1412,cancel,6,5,0.32
1413,exclude,6,6,0.39
1414,mix,6,5,0.32
1415,behave,6,6,0.39
1416,nodemanagers,6,6,0.39
1417,actively,6,4,0.26
1418,truly,6,5,0.32
1419,similarly,6,6,0.39
1420,examine,6,5,0.32
1421,footprint,6,6,0.39
1422,pressure,6,5,0.32
1423,evaluation,6,4,0.26
1424,jhs,6,4,0.26
1425,exactly,6,6,0.39
1426,username,6,6,0.39
1427,conversion,6,3,0.19
1428,formattedloggingoutput,6,5,0.32
1429,consumption,6,5,0.32
1430,behaviour,6,4,0.26
1431,outcome,6,6,0.39
1432,opportunity,6,4,0.26
1433,revert,6,3,0.19
1434,synchronize,6,6,0.39
1435,perspective,6,5,0.32
1436,dag,6,4,0.26
1437,bottleneck,6,6,0.39
1438,healthy,6,6,0.39
1439,suffer,6,6,0.39
1440,gather,6,6,0.39
1441,till,6,6,0.39
1442,scheme,6,5,0.32
1443,paas,6,2,0.13
1444,heterogeneous,6,5,0.32
1445,node1,6,2,0.13
1446,member,6,5,0.32
1447,produce,6,6,0.39
1448,identical,6,5,0.32
1449,responsibility,6,5,0.32
1450,readiness,6,2,0.13
1451,feel,6,6,0.39
1452,relaxation,6,3,0.19
1453,relax,6,4,0.26
1454,intermediate,6,6,0.39
1455,constructor,6,4,0.26
1456,verify,6,5,0.32
1457,getters,6,2,0.13
1458,unified,6,6,0.39
1459,revisit,6,4,0.26
1460,past,6,6,0.39
1461,prevents,6,6,0.39
1462,declare,6,6,0.39
1463,inject,6,3,0.19
1464,synthetic,6,3,0.19
1465,snapshot,6,3,0.19
1466,instantaneous,6,3,0.19
1467,gain,6,3,0.19
1468,room,6,6,0.39
1469,text,6,5,0.32
1470,synth,6,3,0.19
1471,instantiate,6,5,0.32
1472,sends,6,6,0.39
1473,ats,6,6,0.39
1474,inconsistency,6,3,0.19
1475,everyone,6,6,0.39
1476,first-class,6,5,0.32
1477,conflict,6,6,0.39
1478,folk,6,6,0.39
1479,unformattedloggingoutput,6,6,0.39
1480,authorize,6,5,0.32
1481,resend,6,3,0.19
1482,expand,6,6,0.39
1483,centralized,6,6,0.39
1484,tie,6,6,0.39
1485,login,6,5,0.32
1486,non-secure,6,5,0.32
1487,jmx,6,4,0.26
1488,starvation,6,6,0.39
1489,specifies,6,5,0.32
1490,loss,6,5,0.32
1491,consistency,6,6,0.39
1492,alive,6,5,0.32
1493,easier,6,6,0.39
1494,writable,6,4,0.26
1495,grant,6,5,0.32
1496,user1,6,4,0.26
1497,consumes,6,6,0.39
1498,compound,6,4,0.26
1499,maximize,6,4,0.26
1500,detection,6,5,0.32
1501,saw,6,5,0.32
1502,pipeline,6,5,0.32
1503,introduced,6,6,0.39
1504,particularly,6,6,0.39
1505,advanced,6,6,0.39
1506,sub-application,6,2,0.13
1507,wildcard,6,3,0.19
1508,transparent,6,6,0.39
1509,charge,6,2,0.13
1510,yarn-2877,6,6,0.39
1511,commit,6,5,0.32
1512,alpha,6,3,0.19
1513,pause,6,4,0.26
1514,cumbersome,6,6,0.39
1515,tc,6,4,0.26
1516,writes,6,6,0.39
1517,storm,6,5,0.32
1518,yarn-3659,6,6,0.39
1519,unknown,6,4,0.26
1520,behalf,6,5,0.32
1521,adhoc,6,3,0.19
1522,mis-behaving,6,6,0.39
1523,broadcast,6,3,0.19
1524,utilized,6,5,0.32
1525,non-trivial,6,6,0.39
1526,overview,6,6,0.39
1527,sub-section,6,6,0.39
1528,webapps,6,5,0.32
1529,granularity,6,5,0.32
1530,yarn-514,6,1,0.06
1531,caller,6,5,0.32
1532,election,6,4,0.26
1533,mitigate,6,6,0.39
1534,highly,6,5,0.32
1535,yarn-1197,6,6,0.39
1536,scanner,6,2,0.13
1537,compression,6,3,0.19
1538,adaptive,6,2,0.13
1539,host2,6,1,0.06
1540,increase/decrease,6,5,0.32
1541,solaris,6,3,0.19
1542,race,6,6,0.39
1543,10k,6,3,0.19
1544,sequential,6,2,0.13
1545,wireup,6,6,0.39
1546,html,6,4,0.26
1547,backing,6,3,0.19
1548,guaranteed-start,6,4,0.26
1549,fair-filepath,6,2,0.13
1550,notification,6,5,0.32
1551,joe,6,1,0.06
1552,repo,6,2,0.13
1553,bulk,5,5,0.32
1554,resource-aware,5,4,0.26
1555,considers,5,4,0.26
1556,fashion,5,5,0.32
1557,attacker,5,3,0.19
1558,stay,5,5,0.32
1559,manually,5,4,0.26
1560,follow-up,5,4,0.26
1561,yarn-10496,5,5,0.32
1562,inherit,5,3,0.19
1563,divide,5,5,0.32
1564,params,5,4,0.26
1565,invalid,5,5,0.32
1566,mutation,5,4,0.26
1567,vendor-specific,5,2,0.13
1568,underlying,5,5,0.32
1569,respective,5,5,0.32
1570,minimal,5,5,0.32
1571,indefinitely,5,5,0.32
1572,implicitly,5,3,0.19
1573,wildcards,5,2,0.13
1574,nest,5,5,0.32
1575,transformation,5,1,0.06
1576,discus,5,5,0.32
1577,heavy,5,4,0.26
1578,maximum-capacity,5,4,0.26
1579,express,5,5,0.32
1580,belongs,5,5,0.32
1581,face,5,5,0.32
1582,runc,5,4,0.26
1583,relaunched,5,4,0.26
1584,finalize,5,3,0.19
1585,spawn,5,5,0.32
1586,ease,5,4,0.26
1587,listing,5,5,0.32
1588,stack,5,4,0.26
1589,plus,5,4,0.26
1590,spot,5,5,0.32
1591,moreover,5,5,0.32
1592,methodorvariablename-methodorvariablename,5,5,0.32
1593,redundant,5,5,0.32
1594,nearly,5,5,0.32
1595,amrm,5,4,0.26
1596,diagram,5,3,0.19
1597,die,5,5,0.32
1598,filepath/,5,3,0.19
1599,success,5,5,0.32
1600,serious,5,5,0.32
1601,analysis,5,5,0.32
1602,feasible,5,5,0.32
1603,none,5,4,0.26
1604,everywhere,5,5,0.32
1605,aarch64,5,1,0.06
1606,ci,5,1,0.06
1607,world,5,5,0.32
1608,promote,5,4,0.26
1609,pagination,5,4,0.26
1610,exact,5,5,0.32
1611,renewal,5,5,0.32
1612,launcher,5,4,0.26
1613,rewrite,5,4,0.26
1614,warn,5,4,0.26
1615,costly,5,5,0.32
1616,nature,5,5,0.32
1617,counter,5,4,0.26
1618,stuff,5,5,0.32
1619,multi-node,5,4,0.26
1620,learn,5,4,0.26
1621,reproduce,5,5,0.32
1622,away,5,5,0.32
1623,unavailable,5,5,0.32
1624,obviously,5,5,0.32
1625,mtab,5,1,0.06
1626,typical,5,5,0.32
1627,diagnosis,5,2,0.13
1628,strict,5,3,0.19
1629,attention,5,5,0.32
1630,dispatch,5,5,0.32
1631,used,5,5,0.32
1632,honor,5,5,0.32
1633,analogous,5,5,0.32
1634,threadpool,5,3,0.19
1635,exchange,5,4,0.26
1636,terminal,5,1,0.06
1637,fairly,5,5,0.32
1638,sum,5,4,0.26
1639,ec2,5,4,0.26
1640,sensitive,5,5,0.32
1641,urls,5,5,0.32
1642,xml,5,3,0.19
1643,re-register,5,4,0.26
1644,whatever,5,5,0.32
1645,rebuild,5,4,0.26
1646,consist,5,4,0.26
1647,simpler,5,5,0.32
1648,prior,5,5,0.32
1649,occupy,5,4,0.26
1650,replicate,5,5,0.32
1651,fault,5,4,0.26
1652,cfs,5,2,0.13
1653,contact,5,4,0.26
1654,app/attempt/container,5,2,0.13
1655,stored,5,5,0.32
1656,contribute,5,4,0.26
1657,assumes,5,5,0.32
1658,inconvenient,5,4,0.26
1659,sent,5,5,0.32
1660,simultaneously,5,4,0.26
1661,compete,5,5,0.32
1662,rumen,5,3,0.19
1663,read-only,5,4,0.26
1664,pb,5,3,0.19
1665,start/stop,5,3,0.19
1666,rmadmin,5,4,0.26
1667,quota,5,3,0.19
1668,numa,5,2,0.13
1669,pay,5,4,0.26
1670,compile,5,4,0.26
1671,estimate,5,4,0.26
1672,nvidia-docker-plugin,5,1,0.06
1673,yarn-native-service,5,4,0.26
1674,user/group,5,2,0.13
1675,manual,5,4,0.26
1676,ugi,5,5,0.32
1677,wrt,5,5,0.32
1678,almost,5,4,0.26
1679,recent,5,5,0.32
1680,large-scale,5,5,0.32
1681,yarn-2915,5,5,0.32
1682,pretty,5,5,0.32
1683,explicit,5,4,0.26
1684,tree,5,5,0.32
1685,affinity,5,4,0.26
1686,operator,5,2,0.13
1687,etl,5,2,0.13
1688,fraction,5,4,0.26
1689,risk,5,5,0.32
1690,adopt,5,4,0.26
1691,near,5,5,0.32
1692,ten,5,5,0.32
1693,motivation,5,5,0.32
1694,accordingly,5,5,0.32
1695,user-limit,5,3,0.19
1696,arrive,5,5,0.32
1697,param,5,3,0.19
1698,visualizer,5,1,0.06
1699,iteration,5,3,0.19
1700,enable/disable,5,5,0.32
1701,vary,5,4,0.26
1702,continuously,5,4,0.26
1703,factory,5,3,0.19
1704,furthermore,5,4,0.26
1705,mask,5,5,0.32
1706,pid,5,5,0.32
1707,sla,5,4,0.26
1708,yarn-4879,5,5,0.32
1709,yarn-2882,5,5,0.32
1710,quick,5,4,0.26
1711,originally,5,4,0.26
1712,cross,5,4,0.26
1713,interpret,5,5,0.32
1714,rm2,5,3,0.19
1715,yarn-913,5,4,0.26
1716,sibling,5,4,0.26
1717,recognize,5,5,0.32
1718,active/standby,5,3,0.19
1719,java-based,5,3,0.19
1720,predict,5,4,0.26
1721,host1,5,1,0.06
1722,host3,5,1,0.06
1723,gang,5,4,0.26
1724,invariant,5,3,0.19
1725,read/write,5,5,0.32
1726,dfs,5,2,0.13
1727,txt,5,1,0.06
1728,webui,5,4,0.26
1729,decorator,5,1,0.06
1730,yarn-common,5,4,0.26
1731,watcher,5,1,0.06
1732,yarn-321,5,5,0.32
1733,htrace,5,2,0.13
1734,userlimit,5,1,0.06
1735,nt,5,1,0.06
1736,lpc,5,1,0.06
1737,re-populate,5,5,0.32
1738,application/attempt,5,1,0.06
1739,definitely,5,4,0.26
1740,1024mb,5,2,0.13
1741,yarn-2,5,4,0.26
1742,consumer,4,3,0.19
1743,nothing,4,3,0.19
1744,expert,4,3,0.19
1745,apiserver,4,4,0.26
1746,shift,4,3,0.19
1747,aqc,4,3,0.19
1748,permit,4,4,0.26
1749,exclusive,4,3,0.19
1750,hot,4,2,0.13
1751,yarn-10506,4,4,0.26
1752,word,4,4,0.26
1753,ultimately,4,3,0.19
1754,drawback,4,4,0.26
1755,intra-queue,4,4,0.26
1756,weight-mode,4,4,0.26
1757,yarn-10504,4,4,0.26
1758,vcores=x,4,2,0.13
1759,memory-mb=y,4,2,0.13
1760,methodorvariablename-capacity,4,2,0.13
1761,calculator,4,3,0.19
1762,desired,4,4,0.26
1763,applicable,4,4,0.26
1764,folder,4,2,0.13
1765,use-cases,4,4,0.26
1766,compress,4,3,0.19
1767,plug,4,4,0.26
1768,fork,4,3,0.19
1769,cod,4,4,0.26
1770,administer,4,3,0.19
1771,applies,4,4,0.26
1772,codebase,4,4,0.26
1773,online,4,4,0.26
1774,performs,4,4,0.26
1775,specified,4,4,0.26
1776,formattedtraceback,4,4,0.26
1777,containerid,4,2,0.13
1778,queues,4,4,0.26
1779,equal,4,4,0.26
1780,procedure,4,4,0.26
1781,careful,4,3,0.19
1782,welcome,4,4,0.26
1783,investigate,4,4,0.26
1784,stacktrace,4,2,0.13
1785,synchronization,4,4,0.26
1786,locking,4,4,0.26
1787,datamaps,4,1,0.06
1788,segment,4,2,0.13
1789,attached,4,4,0.26
1790,degrade,4,3,0.19
1791,gc,4,4,0.26
1792,violate,4,4,0.26
1793,customer,4,4,0.26
1794,natively,4,3,0.19
1795,stress,4,3,0.19
1796,guard,4,4,0.26
1797,compose,4,4,0.26
1798,shortcoming,4,3,0.19
1799,identifier,4,3,0.19
1800,timestamp,4,2,0.13
1801,concrete,4,4,0.26
1802,doas,4,3,0.19
1803,web-ui,4,2,0.13
1804,non-appendable,4,2,0.13
1805,uri,4,4,0.26
1806,subclusters,4,3,0.19
1807,mostly,4,4,0.26
1808,card,4,4,0.26
1809,maven,4,4,0.26
1810,artifact,4,4,0.26
1811,lag,4,4,0.26
1812,course,4,4,0.26
1813,testres,4,1,0.06
1814,node3,4,2,0.13
1815,yarn-3854,4,3,0.19
1816,insufficient,4,3,0.19
1817,surface,4,3,0.19
1818,incorrect,4,4,0.26
1819,gateway,4,4,0.26
1820,confuse,4,4,0.26
1821,irrespective,4,4,0.26
1822,manifest,4,2,0.13
1823,maximum-allocation-mb,4,3,0.19
1824,adaptor,4,2,0.13
1825,incomplete,4,4,0.26
1826,massive,4,3,0.19
1827,trouble,4,4,0.26
1828,spare,4,3,0.19
1829,strictly,4,4,0.26
1830,creator,4,3,0.19
1831,tf,4,3,0.19
1832,pure,4,2,0.13
1833,end-to-end,4,4,0.26
1834,non-am,4,3,0.19
1835,killer,4,3,0.19
1836,knowledge,4,4,0.26
1837,understanding,4,4,0.26
1838,clearer,4,4,0.26
1839,accepts,4,4,0.26
1840,in-process,4,4,0.26
1841,negotiate,4,4,0.26
1842,exec,4,3,0.19
1843,ssh,4,3,0.19
1844,plumb,4,3,0.19
1845,construct,4,4,0.26
1846,prefers,4,3,0.19
1847,inner,4,3,0.19
1848,nvidia-docker,4,2,0.13
1849,party,4,4,0.26
1850,persistent,4,3,0.19
1851,yarn-3409,4,4,0.26
1852,throughout,4,4,0.26
1853,thrown,4,4,0.26
1854,teardown,4,4,0.26
1855,runner,4,1,0.06
1856,-status,4,3,0.19
1857,replay,4,3,0.19
1858,hoc,4,2,0.13
1859,elastic,4,2,0.13
1860,correction,4,4,0.26
1861,updated,4,4,0.26
1862,impossible,4,4,0.26
1863,complexity,4,4,0.26
1864,design/implementation,4,4,0.26
1865,aggressive,4,4,0.26
1866,interact,4,4,0.26
1867,nod,4,4,0.26
1868,sequentially,4,4,0.26
1869,client/am,4,2,0.13
1870,boundary,4,4,0.26
1871,inter-app,4,3,0.19
1872,grain,4,4,0.26
1873,gq,4,4,0.26
1874,hadoop-14077,4,1,0.06
1875,knox,4,3,0.19
1876,localized,4,4,0.26
1877,bias,4,3,0.19
1878,tradeoff,4,2,0.13
1879,opinion,4,4,0.26
1880,planning,4,3,0.19
1881,elevate,4,4,0.26
1882,efficiency,4,4,0.26
1883,user2,4,3,0.19
1884,metainfo,4,1,0.06
1885,broken,4,4,0.26
1886,convenient,4,4,0.26
1887,dimension,4,4,0.26
1888,convention,4,3,0.19
1889,alternate,4,4,0.26
1890,relinquish,4,3,0.19
1891,proto,4,3,0.19
1892,whitelist,4,3,0.19
1893,atsv1,4,2,0.13
1894,consideration,4,4,0.26
1895,neither,4,4,0.26
1896,painful,4,4,0.26
1897,https,4,3,0.19
1898,proxied,4,4,0.26
1899,answer,4,4,0.26
1900,1mb,4,2,0.13
1901,trivial,4,4,0.26
1902,assembly,4,1,0.06
1903,date,4,4,0.26
1904,notice,4,4,0.26
1905,putentities,4,1,0.06
1906,asynchronously,4,3,0.19
1907,infinite,4,2,0.13
1908,outage,4,3,0.19
1909,agent-less,4,3,0.19
1910,webservice,4,3,0.19
1911,cors,4,2,0.13
1912,participate,4,3,0.19
1913,filing,4,4,0.26
1914,-list,4,2,0.13
1915,year,4,4,0.26
1916,resume,4,2,0.13
1917,re-init,4,1,0.06
1918,reorder,4,2,0.13
1919,association,4,2,0.13
1920,resource-requests,4,4,0.26
1921,unable,4,4,0.26
1922,unexpected,4,3,0.19
1923,defines,4,3,0.19
1924,local/log,4,1,0.06
1925,spend,4,4,0.26
1926,uniquely,4,3,0.19
1927,impl,4,3,0.19
1928,unrecognized,4,1,0.06
1929,httpandhttps,4,1,0.06
1930,changing,4,3,0.19
1931,pre-initialized,4,1,0.06
1932,reflection,4,4,0.26
1933,node-level,4,3,0.19
1934,yarn-5326,4,4,0.26
1935,ahead,4,4,0.26
1936,coprocessors,4,4,0.26
1937,sophisticated,4,3,0.19
1938,dead,4,3,0.19
1939,poc,4,4,0.26
1940,slowly,4,3,0.19
1941,explain,4,4,0.26
1942,duplication,4,3,0.19
1943,rapid,4,2,0.13
1944,bunch,4,3,0.19
1945,sit,4,4,0.26
1946,yarn-2113,4,3,0.19
1947,propagation,4,3,0.19
1948,destroy,4,2,0.13
1949,identity,4,4,0.26
1950,dy,4,3,0.19
1951,recommission,4,3,0.19
1952,activate,4,4,0.26
1953,accepted,4,4,0.26
1954,oversubscription,4,2,0.13
1955,minimum-allocation,4,1,0.06
1956,yarn-3214,4,4,0.26
1957,content,4,4,0.26
1958,encryption,4,1,0.06
1959,encrypt,4,2,0.13
1960,tune,4,4,0.26
1961,major,4,4,0.26
1962,region,4,4,0.26
1963,1-core,4,1,0.06
1964,continuous,4,3,0.19
1965,aggregated,4,4,0.26
1966,retain,4,4,0.26
1967,consistently,4,4,0.26
1968,mechanisms,4,3,0.19
1969,acquire,4,4,0.26
1970,non-labeled,4,2,0.13
1971,role,4,4,0.26
1972,origin,4,2,0.13
1973,rt,4,1,0.06
1974,mem,4,3,0.19
1975,reduces,4,3,0.19
1976,astro,4,1,0.06
1977,algorithms,4,4,0.26
1978,manipulate,4,4,0.26
1979,happy,4,3,0.19
1980,supervision,4,1,0.06
1981,jt,4,1,0.06
1982,port1,4,1,0.06
1983,-methodorvariablename=2000,4,1,0.06
1984,listen,4,4,0.26
1985,suspend,4,2,0.13
1986,yarn-1063,4,1,0.06
1987,aid,4,4,0.26
1988,immediate,4,2,0.13
1989,familiar,4,4,0.26
1990,impalad,4,1,0.06
1991,yarn-1367,4,4,0.26
1992,amrmclient,4,4,0.26
1993,logon,4,1,0.06
