rank,token,total_count,document_frequency,percent_documents,candidate_class,decision,source,reason
742,scalable,18,13,0.84,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
754,asynchronous,17,15,0.97,Pattern,review,ontology_exact_match,Exact match in ontology sheet
774,lookup,16,11,0.71,Pattern,review,ontology_exact_match,Exact match in ontology sheet
798,rout,16,12,0.78,Connector,review,ontology_exact_match,Exact match in ontology sheet
800,push,16,12,0.78,Connector,review,ontology_exact_match,Exact match in ontology sheet
814,fifo,15,14,0.91,Pattern,review,ontology_exact_match,Exact match in ontology sheet
818,efficient,15,14,0.91,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
827,issuelink,15,13,0.84,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
830,availability,15,13,0.84,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
844,apache,15,7,0.45,Technology,review,ontology_exact_match,Exact match in ontology sheet
854,scalability,14,11,0.71,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
860,zookeeper,14,9,0.58,Technology,review,ontology_exact_match,Exact match in ontology sheet
861,notify,14,13,0.84,Connector,review,ontology_exact_match,Exact match in ontology sheet
862,inlinecodesample,14,11,0.71,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
866,cloud,14,9,0.58,Requirement,review,ontology_exact_match,Exact match in ontology sheet
867,sync,14,10,0.65,Pattern,review,ontology_exact_match,Exact match in ontology sheet
870,pull,14,9,0.58,Connector,review,ontology_exact_match,Exact match in ontology sheet
897,effective,13,10,0.65,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
902,kerberos,13,11,0.71,Technology,review,ontology_exact_match,Exact match in ontology sheet
905,forward,13,12,0.78,Connector,review,ontology_exact_match,Exact match in ontology sheet
911,robust,13,10,0.65,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
912,speed,13,10,0.65,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
921,standard,13,9,0.58,Technology,review,ontology_exact_match,Exact match in ontology sheet
929,communicate,13,13,0.84,Connector,review,ontology_exact_match,Exact match in ontology sheet
930,route,13,12,0.78,Connector,review,ontology_exact_match,Exact match in ontology sheet
947,flexibility,12,12,0.78,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
954,imageattachment,12,7,0.45,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
1012,encapsulate,11,10,0.65,Pattern,review,ontology_exact_match,Exact match in ontology sheet
1024,usability,11,9,0.58,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
1026,batch,11,7,0.45,Pattern,review,ontology_exact_match,Exact match in ontology sheet
1032,monitoring,11,10,0.65,Pattern,review,ontology_exact_match,Exact match in ontology sheet
1041,stream,11,10,0.65,Connector|Pattern,review,ontology_exact_match,Exact match in ontology sheet
1042,compatibility,11,9,0.58,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
1043,interaction,11,9,0.58,Connector,review,ontology_exact_match,Exact match in ontology sheet
1053,authorization,11,6,0.39,Pattern,review,ontology_exact_match,Exact match in ontology sheet
1083,flex,10,5,0.32,Technology,review,ontology_exact_match,Exact match in ontology sheet
1088,attachment,10,5,0.32,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
1095,integration,10,8,0.52,Requirement,review,ontology_exact_match,Exact match in ontology sheet
1096,engine,10,6,0.39,Component,review,ontology_exact_match,Exact match in ontology sheet
1111,payload,10,6,0.39,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
1117,authenticate,10,8,0.52,Pattern,review,ontology_exact_match,Exact match in ontology sheet
1122,tensorflow,10,5,0.32,Technology,review,ontology_exact_match,Exact match in ontology sheet
1138,maintenance,10,7,0.45,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
